"topics","Griffiths2004","CaoJuan2009","Arun2010","Deveaud2014"
95,-18055422.7553787,0.133042644192048,983016.207018955,3.41855385016442
85,-18424550.9341723,0.142378775665576,996287.186789776,3.38951309519778
75,-18796054.8989181,0.150881405485924,1015074.65969327,3.34438510385194
65,-19283543.481004,0.16887729132566,1037524.61168289,3.27283028566926
55,-19673534.5199802,0.183529253118177,1060058.78330801,3.21523801891053
45,-20281123.3830813,0.210891157720868,1089550.22169746,3.10818926523115
35,-20923116.9143306,0.239326699782458,1121435.45682256,2.94745772536293
25,-21706265.4345827,0.259347771779594,1165874.03275017,2.7731163193245
15,-22840072.3608501,0.317869104344665,1226618.77651708,2.46538497929931
5,-25048654.5654517,0.398104220432131,1356115.61445817,2.22553259109275
